date,department,total_beds,occupied_beds,occupancy_rate_pct
2023-01-12,Emergency,30,19,63.3
2023-01-12,Cardiology,40,22,55.0
2023-01-12,Orthopedics,35,35,100.0
2023-01-12,Neurology,30,15,50.0
2023-01-12,Oncology,45,22,48.9
2023-01-12,General Surgery,50,36,72.0
2023-01-12,Pediatrics,25,22,88.0
2023-01-12,ICU,20,16,80.0
2023-01-13,Emergency,30,18,60.0
2023-01-13,Cardiology,40,39,97.5
2023-01-13,Orthopedics,35,21,60.0
2023-01-13,Neurology,30,28,93.3
2023-01-13,Oncology,45,38,84.4
2023-01-13,General Surgery,50,45,90.0
2023-01-13,Pediatrics,25,21,84.0
2023-01-13,ICU,20,12,60.0
2023-01-14,Emergency,30,19,63.3
2023-01-14,Cardiology,40,26,65.0
2023-01-14,Orthopedics,35,31,88.6
2023-01-14,Neurology,30,27,90.0
2023-01-14,Oncology,45,38,84.4
2023-01-14,General Surgery,50,48,96.0
2023-01-14,Pediatrics,25,15,60.0
2023-01-14,ICU,20,20,100.0
2023-01-15,Emergency,30,19,63.3
2023-01-15,Cardiology,40,30,75.0
2023-01-15,Orthopedics,35,30,85.7
2023-01-15,Neurology,30,20,66.7
2023-01-15,Oncology,45,26,57.8
2023-01-15,General Surgery,50,38,76.0
2023-01-15,Pediatrics,25,20,80.0
2023-01-15,ICU,20,14,70.0
2023-01-16,Emergency,30,20,66.7
2023-01-16,Cardiology,40,36,90.0
2023-01-16,Orthopedics,35,27,77.1
2023-01-16,Neurology,30,30,100.0
2023-01-16,Oncology,45,28,62.2
2023-01-16,General Surgery,50,40,80.0
2023-01-16,Pediatrics,25,16,64.0
2023-01-16,ICU,20,12,60.0
2023-01-17,Emergency,30,24,80.0
2023-01-17,Cardiology,40,20,50.0
2023-01-17,Orthopedics,35,27,77.1
2023-01-17,Neurology,30,27,90.0
2023-01-17,Oncology,45,32,71.1
2023-01-17,General Surgery,50,29,58.0
2023-01-17,Pediatrics,25,22,88.0
2023-01-17,ICU,20,11,55.0
2023-01-18,Emergency,30,23,76.7
2023-01-18,Cardiology,40,32,80.0
2023-01-18,Orthopedics,35,21,60.0
2023-01-18,Neurology,30,23,76.7
2023-01-18,Oncology,45,22,48.9
2023-01-18,General Surgery,50,47,94.0
2023-01-18,Pediatrics,25,20,80.0
2023-01-18,ICU,20,20,100.0
2023-01-19,Emergency,30,19,63.3
2023-01-19,Cardiology,40,39,97.5
2023-01-19,Orthopedics,35,25,71.4
2023-01-19,Neurology,30,25,83.3
2023-01-19,Oncology,45,39,86.7
2023-01-19,General Surgery,50,46,92.0
2023-01-19,Pediatrics,25,14,56.0
2023-01-19,ICU,20,17,85.0
2023-01-20,Emergency,30,17,56.7
2023-01-20,Cardiology,40,29,72.5
2023-01-20,Orthopedics,35,23,65.7
2023-01-20,Neurology,30,21,70.0
2023-01-20,Oncology,45,38,84.4
2023-01-20,General Surgery,50,29,58.0
2023-01-20,Pediatrics,25,14,56.0
2023-01-20,ICU,20,16,80.0
2023-01-21,Emergency,30,24,80.0
2023-01-21,Cardiology,40,34,85.0
2023-01-21,Orthopedics,35,32,91.4
2023-01-21,Neurology,30,23,76.7
2023-01-21,Oncology,45,29,64.4
2023-01-21,General Surgery,50,41,82.0
2023-01-21,Pediatrics,25,24,96.0
2023-01-21,ICU,20,15,75.0
2023-01-22,Emergency,30,28,93.3
2023-01-22,Cardiology,40,24,60.0
2023-01-22,Orthopedics,35,33,94.3
2023-01-22,Neurology,30,19,63.3
2023-01-22,Oncology,45,43,95.6
2023-01-22,General Surgery,50,26,52.0
2023-01-22,Pediatrics,25,18,72.0
2023-01-22,ICU,20,20,100.0
2023-01-23,Emergency,30,23,76.7
2023-01-23,Cardiology,40,32,80.0
2023-01-23,Orthopedics,35,28,80.0
2023-01-23,Neurology,30,21,70.0
2023-01-23,Oncology,45,45,100.0
2023-01-23,General Surgery,50,47,94.0
2023-01-23,Pediatrics,25,22,88.0
2023-01-23,ICU,20,19,95.0
2023-01-24,Emergency,30,23,76.7
2023-01-24,Cardiology,40,33,82.5
2023-01-24,Orthopedics,35,30,85.7
2023-01-24,Neurology,30,20,66.7
2023-01-24,Oncology,45,32,71.1
2023-01-24,General Surgery,50,38,76.0
2023-01-24,Pediatrics,25,19,76.0
2023-01-24,ICU,20,10,50.0
2023-01-25,Emergency,30,18,60.0
2023-01-25,Cardiology,40,36,90.0
2023-01-25,Orthopedics,35,23,65.7
2023-01-25,Neurology,30,16,53.3
2023-01-25,Oncology,45,26,57.8
2023-01-25,General Surgery,50,37,74.0
2023-01-25,Pediatrics,25,21,84.0
2023-01-25,ICU,20,16,80.0
2023-01-26,Emergency,30,20,66.7
2023-01-26,Cardiology,40,40,100.0
2023-01-26,Orthopedics,35,31,88.6
2023-01-26,Neurology,30,25,83.3
2023-01-26,Oncology,45,27,60.0
2023-01-26,General Surgery,50,32,64.0
2023-01-26,Pediatrics,25,12,48.0
2023-01-26,ICU,20,11,55.0
2023-01-27,Emergency,30,25,83.3
2023-01-27,Cardiology,40,31,77.5
2023-01-27,Orthopedics,35,31,88.6
2023-01-27,Neurology,30,22,73.3
2023-01-27,Oncology,45,26,57.8
2023-01-27,General Surgery,50,39,78.0
2023-01-27,Pediatrics,25,22,88.0
2023-01-27,ICU,20,16,80.0
2023-01-28,Emergency,30,22,73.3
2023-01-28,Cardiology,40,28,70.0
2023-01-28,Orthopedics,35,32,91.4
2023-01-28,Neurology,30,26,86.7
2023-01-28,Oncology,45,28,62.2
2023-01-28,General Surgery,50,34,68.0
2023-01-28,Pediatrics,25,25,100.0
2023-01-28,ICU,20,19,95.0
2023-01-29,Emergency,30,16,53.3
2023-01-29,Cardiology,40,38,95.0
2023-01-29,Orthopedics,35,32,91.4
2023-01-29,Neurology,30,26,86.7
2023-01-29,Oncology,45,25,55.6
2023-01-29,General Surgery,50,44,88.0
2023-01-29,Pediatrics,25,23,92.0
2023-01-29,ICU,20,15,75.0
2023-01-30,Emergency,30,20,66.7
2023-01-30,Cardiology,40,36,90.0
2023-01-30,Orthopedics,35,31,88.6
2023-01-30,Neurology,30,17,56.7
2023-01-30,Oncology,45,45,100.0
2023-01-30,General Surgery,50,47,94.0
2023-01-30,Pediatrics,25,15,60.0
2023-01-30,ICU,20,15,75.0
2023-01-31,Emergency,30,24,80.0
2023-01-31,Cardiology,40,37,92.5
2023-01-31,Orthopedics,35,29,82.9
2023-01-31,Neurology,30,18,60.0
2023-01-31,Oncology,45,22,48.9
2023-01-31,General Surgery,50,30,60.0
2023-01-31,Pediatrics,25,21,84.0
2023-01-31,ICU,20,14,70.0
2023-02-01,Emergency,30,21,70.0
2023-02-01,Cardiology,40,24,60.0
2023-02-01,Orthopedics,35,32,91.4
2023-02-01,Neurology,30,26,86.7
2023-02-01,Oncology,45,27,60.0
2023-02-01,General Surgery,50,33,66.0
2023-02-01,Pediatrics,25,16,64.0
2023-02-01,ICU,20,14,70.0
2023-02-02,Emergency,30,21,70.0
2023-02-02,Cardiology,40,39,97.5
2023-02-02,Orthopedics,35,18,51.4
2023-02-02,Neurology,30,30,100.0
2023-02-02,Oncology,45,33,73.3
2023-02-02,General Surgery,50,32,64.0
2023-02-02,Pediatrics,25,25,100.0
2023-02-02,ICU,20,14,70.0
2023-02-03,Emergency,30,15,50.0
2023-02-03,Cardiology,40,23,57.5
2023-02-03,Orthopedics,35,28,80.0
2023-02-03,Neurology,30,30,100.0
2023-02-03,Oncology,45,44,97.8
2023-02-03,General Surgery,50,34,68.0
2023-02-03,Pediatrics,25,23,92.0
2023-02-03,ICU,20,16,80.0
2023-02-04,Emergency,30,21,70.0
2023-02-04,Cardiology,40,27,67.5
2023-02-04,Orthopedics,35,33,94.3
2023-02-04,Neurology,30,25,83.3
2023-02-04,Oncology,45,37,82.2
2023-02-04,General Surgery,50,32,64.0
2023-02-04,Pediatrics,25,20,80.0
2023-02-04,ICU,20,12,60.0
2023-02-05,Emergency,30,23,76.7
2023-02-05,Cardiology,40,20,50.0
2023-02-05,Orthopedics,35,32,91.4
2023-02-05,Neurology,30,16,53.3
2023-02-05,Oncology,45,24,53.3
2023-02-05,General Surgery,50,31,62.0
2023-02-05,Pediatrics,25,22,88.0
2023-02-05,ICU,20,20,100.0
2023-02-06,Emergency,30,18,60.0
2023-02-06,Cardiology,40,40,100.0
2023-02-06,Orthopedics,35,17,48.6
2023-02-06,Neurology,30,15,50.0
2023-02-06,Oncology,45,26,57.8
2023-02-06,General Surgery,50,46,92.0
2023-02-06,Pediatrics,25,22,88.0
2023-02-06,ICU,20,12,60.0
2023-02-07,Emergency,30,23,76.7
2023-02-07,Cardiology,40,30,75.0
2023-02-07,Orthopedics,35,29,82.9
2023-02-07,Neurology,30,24,80.0
2023-02-07,Oncology,45,33,73.3
2023-02-07,General Surgery,50,28,56.0
2023-02-07,Pediatrics,25,19,76.0
2023-02-07,ICU,20,12,60.0
2023-02-08,Emergency,30,19,63.3
2023-02-08,Cardiology,40,34,85.0
2023-02-08,Orthopedics,35,18,51.4
2023-02-08,Neurology,30,15,50.0
2023-02-08,Oncology,45,37,82.2
2023-02-08,General Surgery,50,45,90.0
2023-02-08,Pediatrics,25,12,48.0
2023-02-08,ICU,20,16,80.0
2023-02-09,Emergency,30,20,66.7
2023-02-09,Cardiology,40,30,75.0
2023-02-09,Orthopedics,35,35,100.0
2023-02-09,Neurology,30,18,60.0
2023-02-09,Oncology,45,29,64.4
2023-02-09,General Surgery,50,37,74.0
2023-02-09,Pediatrics,25,18,72.0
2023-02-09,ICU,20,12,60.0
2023-02-10,Emergency,30,22,73.3
2023-02-10,Cardiology,40,20,50.0
2023-02-10,Orthopedics,35,31,88.6
2023-02-10,Neurology,30,30,100.0
2023-02-10,Oncology,45,39,86.7
2023-02-10,General Surgery,50,33,66.0
2023-02-10,Pediatrics,25,17,68.0
2023-02-10,ICU,20,10,50.0
2023-02-11,Emergency,30,21,70.0
2023-02-11,Cardiology,40,20,50.0
2023-02-11,Orthopedics,35,30,85.7
2023-02-11,Neurology,30,17,56.7
2023-02-11,Oncology,45,25,55.6
2023-02-11,General Surgery,50,39,78.0
2023-02-11,Pediatrics,25,14,56.0
2023-02-11,ICU,20,19,95.0
2023-02-12,Emergency,30,30,100.0
2023-02-12,Cardiology,40,30,75.0
2023-02-12,Orthopedics,35,31,88.6
2023-02-12,Neurology,30,16,53.3
2023-02-12,Oncology,45,35,77.8
2023-02-12,General Surgery,50,30,60.0
2023-02-12,Pediatrics,25,20,80.0
2023-02-12,ICU,20,10,50.0
2023-02-13,Emergency,30,26,86.7
2023-02-13,Cardiology,40,32,80.0
2023-02-13,Orthopedics,35,22,62.9
2023-02-13,Neurology,30,22,73.3
2023-02-13,Oncology,45,30,66.7
2023-02-13,General Surgery,50,43,86.0
2023-02-13,Pediatrics,25,25,100.0
2023-02-13,ICU,20,12,60.0
2023-02-14,Emergency,30,21,70.0
2023-02-14,Cardiology,40,32,80.0
2023-02-14,Orthopedics,35,24,68.6
2023-02-14,Neurology,30,22,73.3
2023-02-14,Oncology,45,42,93.3
2023-02-14,General Surgery,50,44,88.0
2023-02-14,Pediatrics,25,19,76.0
2023-02-14,ICU,20,11,55.0
2023-02-15,Emergency,30,30,100.0
2023-02-15,Cardiology,40,24,60.0
2023-02-15,Orthopedics,35,35,100.0
2023-02-15,Neurology,30,17,56.7
2023-02-15,Oncology,45,33,73.3
2023-02-15,General Surgery,50,25,50.0
2023-02-15,Pediatrics,25,17,68.0
2023-02-15,ICU,20,14,70.0
2023-02-16,Emergency,30,27,90.0
2023-02-16,Cardiology,40,36,90.0
2023-02-16,Orthopedics,35,30,85.7
2023-02-16,Neurology,30,20,66.7
2023-02-16,Oncology,45,26,57.8
2023-02-16,General Surgery,50,35,70.0
2023-02-16,Pediatrics,25,15,60.0
2023-02-16,ICU,20,15,75.0
2023-02-17,Emergency,30,22,73.3
2023-02-17,Cardiology,40,38,95.0
2023-02-17,Orthopedics,35,21,60.0
2023-02-17,Neurology,30,24,80.0
2023-02-17,Oncology,45,38,84.4
2023-02-17,General Surgery,50,34,68.0
2023-02-17,Pediatrics,25,18,72.0
2023-02-17,ICU,20,17,85.0
2023-02-18,Emergency,30,21,70.0
2023-02-18,Cardiology,40,40,100.0
2023-02-18,Orthopedics,35,27,77.1
2023-02-18,Neurology,30,29,96.7
2023-02-18,Oncology,45,41,91.1
2023-02-18,General Surgery,50,42,84.0
2023-02-18,Pediatrics,25,20,80.0
2023-02-18,ICU,20,16,80.0
2023-02-19,Emergency,30,20,66.7
2023-02-19,Cardiology,40,21,52.5
2023-02-19,Orthopedics,35,26,74.3
2023-02-19,Neurology,30,25,83.3
2023-02-19,Oncology,45,43,95.6
2023-02-19,General Surgery,50,41,82.0
2023-02-19,Pediatrics,25,25,100.0
2023-02-19,ICU,20,14,70.0
2023-02-20,Emergency,30,18,60.0
2023-02-20,Cardiology,40,21,52.5
2023-02-20,Orthopedics,35,33,94.3
2023-02-20,Neurology,30,29,96.7
2023-02-20,Oncology,45,36,80.0
2023-02-20,General Surgery,50,50,100.0
2023-02-20,Pediatrics,25,21,84.0
2023-02-20,ICU,20,10,50.0
2023-02-21,Emergency,30,26,86.7
2023-02-21,Cardiology,40,28,70.0
2023-02-21,Orthopedics,35,20,57.1
2023-02-21,Neurology,30,20,66.7
2023-02-21,Oncology,45,22,48.9
2023-02-21,General Surgery,50,34,68.0
2023-02-21,Pediatrics,25,19,76.0
2023-02-21,ICU,20,17,85.0
2023-02-22,Emergency,30,17,56.7
2023-02-22,Cardiology,40,21,52.5
2023-02-22,Orthopedics,35,24,68.6
2023-02-22,Neurology,30,28,93.3
2023-02-22,Oncology,45,36,80.0
2023-02-22,General Surgery,50,41,82.0
2023-02-22,Pediatrics,25,15,60.0
2023-02-22,ICU,20,17,85.0
2023-02-23,Emergency,30,15,50.0
2023-02-23,Cardiology,40,29,72.5
2023-02-23,Orthopedics,35,23,65.7
2023-02-23,Neurology,30,26,86.7
2023-02-23,Oncology,45,43,95.6
2023-02-23,General Surgery,50,30,60.0
2023-02-23,Pediatrics,25,13,52.0
2023-02-23,ICU,20,15,75.0
2023-02-24,Emergency,30,15,50.0
2023-02-24,Cardiology,40,29,72.5
2023-02-24,Orthopedics,35,35,100.0
2023-02-24,Neurology,30,22,73.3
2023-02-24,Oncology,45,28,62.2
2023-02-24,General Surgery,50,30,60.0
2023-02-24,Pediatrics,25,17,68.0
2023-02-24,ICU,20,18,90.0
2023-02-25,Emergency,30,26,86.7
2023-02-25,Cardiology,40,25,62.5
2023-02-25,Orthopedics,35,28,80.0
2023-02-25,Neurology,30,23,76.7
2023-02-25,Oncology,45,27,60.0
2023-02-25,General Surgery,50,42,84.0
2023-02-25,Pediatrics,25,25,100.0
2023-02-25,ICU,20,16,80.0
2023-02-26,Emergency,30,25,83.3
2023-02-26,Cardiology,40,40,100.0
2023-02-26,Orthopedics,35,32,91.4
2023-02-26,Neurology,30,15,50.0
2023-02-26,Oncology,45,31,68.9
2023-02-26,General Surgery,50,30,60.0
2023-02-26,Pediatrics,25,12,48.0
2023-02-26,ICU,20,18,90.0
2023-02-27,Emergency,30,30,100.0
2023-02-27,Cardiology,40,37,92.5
2023-02-27,Orthopedics,35,18,51.4
2023-02-27,Neurology,30,26,86.7
2023-02-27,Oncology,45,30,66.7
2023-02-27,General Surgery,50,26,52.0
2023-02-27,Pediatrics,25,16,64.0
2023-02-27,ICU,20,13,65.0
2023-02-28,Emergency,30,15,50.0
2023-02-28,Cardiology,40,40,100.0
2023-02-28,Orthopedics,35,25,71.4
2023-02-28,Neurology,30,22,73.3
2023-02-28,Oncology,45,23,51.1
2023-02-28,General Surgery,50,39,78.0
2023-02-28,Pediatrics,25,17,68.0
2023-02-28,ICU,20,10,50.0
2023-03-01,Emergency,30,21,70.0
2023-03-01,Cardiology,40,31,77.5
2023-03-01,Orthopedics,35,25,71.4
2023-03-01,Neurology,30,30,100.0
2023-03-01,Oncology,45,28,62.2
2023-03-01,General Surgery,50,32,64.0
2023-03-01,Pediatrics,25,23,92.0
2023-03-01,ICU,20,10,50.0
2023-03-02,Emergency,30,20,66.7
2023-03-02,Cardiology,40,29,72.5
2023-03-02,Orthopedics,35,32,91.4
2023-03-02,Neurology,30,28,93.3
2023-03-02,Oncology,45,41,91.1
2023-03-02,General Surgery,50,46,92.0
2023-03-02,Pediatrics,25,13,52.0
2023-03-02,ICU,20,15,75.0
2023-03-03,Emergency,30,24,80.0
2023-03-03,Cardiology,40,23,57.5
2023-03-03,Orthopedics,35,22,62.9
2023-03-03,Neurology,30,24,80.0
2023-03-03,Oncology,45,25,55.6
2023-03-03,General Surgery,50,39,78.0
2023-03-03,Pediatrics,25,15,60.0
2023-03-03,ICU,20,17,85.0
2023-03-04,Emergency,30,25,83.3
2023-03-04,Cardiology,40,34,85.0
2023-03-04,Orthopedics,35,33,94.3
2023-03-04,Neurology,30,17,56.7
2023-03-04,Oncology,45,22,48.9
2023-03-04,General Surgery,50,29,58.0
2023-03-04,Pediatrics,25,12,48.0
2023-03-04,ICU,20,15,75.0
2023-03-05,Emergency,30,29,96.7
2023-03-05,Cardiology,40,36,90.0
2023-03-05,Orthopedics,35,19,54.3
2023-03-05,Neurology,30,26,86.7
2023-03-05,Oncology,45,29,64.4
2023-03-05,General Surgery,50,43,86.0
2023-03-05,Pediatrics,25,18,72.0
2023-03-05,ICU,20,10,50.0
2023-03-06,Emergency,30,22,73.3
2023-03-06,Cardiology,40,38,95.0
2023-03-06,Orthopedics,35,23,65.7
2023-03-06,Neurology,30,25,83.3
2023-03-06,Oncology,45,29,64.4
2023-03-06,General Surgery,50,33,66.0
2023-03-06,Pediatrics,25,12,48.0
2023-03-06,ICU,20,17,85.0
2023-03-07,Emergency,30,24,80.0
2023-03-07,Cardiology,40,30,75.0
2023-03-07,Orthopedics,35,25,71.4
2023-03-07,Neurology,30,28,93.3
2023-03-07,Oncology,45,36,80.0
2023-03-07,General Surgery,50,47,94.0
2023-03-07,Pediatrics,25,23,92.0
2023-03-07,ICU,20,16,80.0
2023-03-08,Emergency,30,19,63.3
2023-03-08,Cardiology,40,23,57.5
2023-03-08,Orthopedics,35,33,94.3
2023-03-08,Neurology,30,28,93.3
2023-03-08,Oncology,45,24,53.3
2023-03-08,General Surgery,50,36,72.0
2023-03-08,Pediatrics,25,25,100.0
2023-03-08,ICU,20,13,65.0
2023-03-09,Emergency,30,26,86.7
2023-03-09,Cardiology,40,39,97.5
2023-03-09,Orthopedics,35,26,74.3
2023-03-09,Neurology,30,17,56.7
2023-03-09,Oncology,45,40,88.9
2023-03-09,General Surgery,50,29,58.0
2023-03-09,Pediatrics,25,12,48.0
2023-03-09,ICU,20,17,85.0
2023-03-10,Emergency,30,17,56.7
2023-03-10,Cardiology,40,32,80.0
2023-03-10,Orthopedics,35,25,71.4
2023-03-10,Neurology,30,19,63.3
2023-03-10,Oncology,45,39,86.7
2023-03-10,General Surgery,50,50,100.0
2023-03-10,Pediatrics,25,24,96.0
2023-03-10,ICU,20,13,65.0
2023-03-11,Emergency,30,27,90.0
2023-03-11,Cardiology,40,38,95.0
2023-03-11,Orthopedics,35,24,68.6
2023-03-11,Neurology,30,29,96.7
2023-03-11,Oncology,45,23,51.1
2023-03-11,General Surgery,50,49,98.0
2023-03-11,Pediatrics,25,24,96.0
2023-03-11,ICU,20,16,80.0
2023-03-12,Emergency,30,15,50.0
2023-03-12,Cardiology,40,37,92.5
2023-03-12,Orthopedics,35,29,82.9
2023-03-12,Neurology,30,30,100.0
2023-03-12,Oncology,45,24,53.3
2023-03-12,General Surgery,50,34,68.0
2023-03-12,Pediatrics,25,21,84.0
2023-03-12,ICU,20,13,65.0
2023-03-13,Emergency,30,18,60.0
2023-03-13,Cardiology,40,39,97.5
2023-03-13,Orthopedics,35,35,100.0
2023-03-13,Neurology,30,23,76.7
2023-03-13,Oncology,45,34,75.6
2023-03-13,General Surgery,50,46,92.0
2023-03-13,Pediatrics,25,19,76.0
2023-03-13,ICU,20,16,80.0
2023-03-14,Emergency,30,16,53.3
2023-03-14,Cardiology,40,24,60.0
2023-03-14,Orthopedics,35,22,62.9
2023-03-14,Neurology,30,16,53.3
2023-03-14,Oncology,45,28,62.2
2023-03-14,General Surgery,50,42,84.0
2023-03-14,Pediatrics,25,18,72.0
2023-03-14,ICU,20,16,80.0
2023-03-15,Emergency,30,18,60.0
2023-03-15,Cardiology,40,40,100.0
2023-03-15,Orthopedics,35,33,94.3
2023-03-15,Neurology,30,22,73.3
2023-03-15,Oncology,45,26,57.8
2023-03-15,General Surgery,50,28,56.0
2023-03-15,Pediatrics,25,12,48.0
2023-03-15,ICU,20,20,100.0
2023-03-16,Emergency,30,15,50.0
2023-03-16,Cardiology,40,29,72.5
2023-03-16,Orthopedics,35,33,94.3
2023-03-16,Neurology,30,22,73.3
2023-03-16,Oncology,45,30,66.7
2023-03-16,General Surgery,50,48,96.0
2023-03-16,Pediatrics,25,15,60.0
2023-03-16,ICU,20,13,65.0
2023-03-17,Emergency,30,26,86.7
2023-03-17,Cardiology,40,32,80.0
2023-03-17,Orthopedics,35,20,57.1
2023-03-17,Neurology,30,24,80.0
2023-03-17,Oncology,45,33,73.3
2023-03-17,General Surgery,50,31,62.0
2023-03-17,Pediatrics,25,12,48.0
2023-03-17,ICU,20,17,85.0
2023-03-18,Emergency,30,26,86.7
2023-03-18,Cardiology,40,38,95.0
2023-03-18,Orthopedics,35,27,77.1
2023-03-18,Neurology,30,19,63.3
2023-03-18,Oncology,45,27,60.0
2023-03-18,General Surgery,50,32,64.0
2023-03-18,Pediatrics,25,17,68.0
2023-03-18,ICU,20,13,65.0
2023-03-19,Emergency,30,22,73.3
2023-03-19,Cardiology,40,36,90.0
2023-03-19,Orthopedics,35,28,80.0
2023-03-19,Neurology,30,19,63.3
2023-03-19,Oncology,45,33,73.3
2023-03-19,General Surgery,50,25,50.0
2023-03-19,Pediatrics,25,19,76.0
2023-03-19,ICU,20,11,55.0
2023-03-20,Emergency,30,18,60.0
2023-03-20,Cardiology,40,26,65.0
2023-03-20,Orthopedics,35,23,65.7
2023-03-20,Neurology,30,28,93.3
2023-03-20,Oncology,45,36,80.0
2023-03-20,General Surgery,50,25,50.0
2023-03-20,Pediatrics,25,17,68.0
2023-03-20,ICU,20,15,75.0
2023-03-21,Emergency,30,26,86.7
2023-03-21,Cardiology,40,26,65.0
2023-03-21,Orthopedics,35,20,57.1
2023-03-21,Neurology,30,22,73.3
2023-03-21,Oncology,45,39,86.7
2023-03-21,General Surgery,50,45,90.0
2023-03-21,Pediatrics,25,13,52.0
2023-03-21,ICU,20,17,85.0
2023-03-22,Emergency,30,27,90.0
2023-03-22,Cardiology,40,37,92.5
2023-03-22,Orthopedics,35,21,60.0
2023-03-22,Neurology,30,21,70.0
2023-03-22,Oncology,45,26,57.8
2023-03-22,General Surgery,50,49,98.0
2023-03-22,Pediatrics,25,14,56.0
2023-03-22,ICU,20,13,65.0
2023-03-23,Emergency,30,20,66.7
2023-03-23,Cardiology,40,34,85.0
2023-03-23,Orthopedics,35,18,51.4
2023-03-23,Neurology,30,26,86.7
2023-03-23,Oncology,45,40,88.9
2023-03-23,General Surgery,50,32,64.0
2023-03-23,Pediatrics,25,16,64.0
2023-03-23,ICU,20,14,70.0
2023-03-24,Emergency,30,24,80.0
2023-03-24,Cardiology,40,32,80.0
2023-03-24,Orthopedics,35,21,60.0
2023-03-24,Neurology,30,21,70.0
2023-03-24,Oncology,45,27,60.0
2023-03-24,General Surgery,50,36,72.0
2023-03-24,Pediatrics,25,25,100.0
2023-03-24,ICU,20,14,70.0
2023-03-25,Emergency,30,16,53.3
2023-03-25,Cardiology,40,32,80.0
2023-03-25,Orthopedics,35,19,54.3
2023-03-25,Neurology,30,29,96.7
2023-03-25,Oncology,45,25,55.6
2023-03-25,General Surgery,50,38,76.0
2023-03-25,Pediatrics,25,18,72.0
2023-03-25,ICU,20,16,80.0
2023-03-26,Emergency,30,23,76.7
2023-03-26,Cardiology,40,38,95.0
2023-03-26,Orthopedics,35,30,85.7
2023-03-26,Neurology,30,18,60.0
